Model,Mean CV RMSE,Std CV RMSE,Validation RMSE,Description
Linear Regression,28.886633300549306,0.025281262033284357,29.015412891101402,Using all features
Lasso,28.87089976239062,0.02393294497542329,29.003836679630734,Using all features
Ridge,28.886632188214783,0.025281267202636806,29.01541249896868,Using all features
Random Forest,0.004923159049629244,7.294180926669576e-05,0.0038163875039399025,Using all features
Linear Regression,28.871572260639123,0.023293859055547008,29.00004019899879,Using only features 6 and 7
Lasso,28.87089976239062,0.02393294497542329,29.003836679630734,Using only features 6 and 7
Ridge,28.871572215777416,0.02329386600584454,29.0000402292632,Using only features 6 and 7
Random Forest,0.0019872080935047385,3.600441631755554e-05,0.0016044018970593843,Using only features 6 and 7
